umidade,ph,N,P,K,chuva
27.6,4.9,false,false,true,false
82.5,6,true,true,false,false
15.1,4.5,false,true,true,true
71.8,6.6,true,false,false,false
44.9,7.7,false,true,true,false
32.8,5.2,true,false,true,false
65.4,5.8,false,true,false,true
89.4,6.5,true,true,true,false
24.1,4.8,false,false,true,false
56.1,6.1,true,true,false,false
41.5,4,false,true,true,true
11.2,6.3,true,false,false,false
77.8,7.4,false,true,true,false
38.2,5.1,true,false,true,false
69.5,5.7,false,true,false,true
45.3,6.6,true,true,true,false
19.4,4.9,false,false,true,false
83.1,6.2,true,true,false,false
52.7,4.3,false,true,true,true
29.9,6.5,true,false,false,false
75.2,7.1,false,true,true,false
40.9,5,true,false,true,false
66.8,5.8,false,true,false,true
87.5,6.4,true,true,true,false
25.1,4.7,false,false,true,false
48.3,6.1,true,true,false,false
17.5,4.2,false,true,true,true
73.1,6.7,true,false,false,false
36.9,7.9,false,true,true,false
61.2,5.2,true,false,true,false
81.7,5.9,false,true,false,true
43.1,6.8,true,true,true,false
21.6,4.6,false,false,true,false
59.8,6,true,true,false,false
34.2,4.4,false,true,true,true
79.1,6.5,true,false,false,false
46.5,7.3,false,true,true,false
23.4,5.1,true,false,true,false
68.2,5.7,false,true,false,true
85.9,6.3,true,true,true,false
51.5,4.9,false,false,true,false
33.7,6.2,true,true,false,false
74.8,4.5,false,true,true,true
40.2,6.4,true,false,false,false
12.1,7.6,false,true,true,false
65.9,5.3,true,false,true,false
82.8,5.5,false,true,false,true
49.1,6.6,true,true,true,false
28.5,5,false,false,true,false
71.5,6.1,true,true,false,false
43.9,4.2,false,true,true,true
16.7,6.3,true,false,false,false
62.1,7.2,false,true,true,false
35.4,5.4,true,false,true,false
78.2,5.8,false,true,false,true
54.1,6.4,true,true,true,false
20.7,4.7,false,false,true,false
86.7,6.2,true,true,false,false
41.8,4.1,false,true,true,true
13.2,6.9,true,false,false,false
72.4,7.5,false,true,true,false
38.7,5.1,true,false,true,false
60.9,5.6,false,true,false,true
83.4,6.5,true,true,true,false
25.9,4.8,false,false,true,false
47.1,6,true,true,false,false
15.8,4.3,false,true,true,true
69.8,6.6,true,false,false,false
31.4,7.8,false,true,true,false
58.7,5.3,true,false,true,false
81.1,5.9,false,true,false,true
42.5,6.7,true,true,true,false
19.1,4.9,false,false,true,false
75.6,6.2,true,true,false,false
50.1,4.2,false,true,true,true
24.3,6.4,true,false,false,false
87.9,7.2,false,true,true,false
33.1,5.1,true,false,true,false
63.4,5.8,false,true,false,true
45.2,6.5,true,true,true,false
17.1,4.7,false,false,true,false
79.9,6.1,true,true,false,false
55.4,4.4,false,true,true,true
22.2,6.3,true,false,false,false
84.5,7.6,false,true,true,false
39.5,5,true,false,true,false
67.1,5.6,false,true,false,true
48.7,6.4,true,true,true,false
26.8,4.9,false,false,true,false
80.7,6.2,true,true,false,false
53.4,4.3,false,true,true,true
30.1,6.6,true,false,false,false
76.2,7.3,false,true,true,false
41.9,5.2,true,false,true,false
64.1,5.9,false,true,false,true
88.5,6.5,true,true,true,false
14.6,4.8,false,false,true,false
73.8,6.1,true,true,false,false
46.2,4.2,false,true,true,true
18.5,6.3,true,false,false,false
82.2,7.4,false,true,true,false
37.8,5.1,true,false,true,false
60.1,5.7,false,true,false,true
44.1,6.6,true,true,true,false
21.9,4.9,false,false,true,false
85.1,6.2,true,true,false,false
50.7,4.4,false,true,true,true
23.6,6.4,true,false,false,false
77.4,7.5,false,true,true,false
